"","Name","Project","Score"
"4079","project-5826","FP1005",0.239830595145854
"3230","project-32513","IC1207",0.239746961253648
"4841","project-7804","MP1104",0.239546491723019
"2129","project-27778","IC1301",0.239431874906075
"4268","project-6263","ES1202",0.239290767889896
"1761","project-25808","FA1202",0.239186367748065
"1170","project-21800","CM1305",0.239157234918356
"1852","project-26394","CM1204",0.238924732531667
"4378","project-6496","FP1305",0.238764641756665
"2731","project-30589","TD1209",0.23860868430391
"2478","project-29480","CM1402",0.238545616154842
"30","project-10211","CM1001",0.238437118240358
"3703","project-34195","IC1302",0.238332689893313
"996","project-20398","ES1402",0.238269390974658
"1427","project-23314","IC1202",0.238232598064852
"4604","project-7060","IS1002",0.238177334995973
"1905","project-26759","CM1001",0.237871415383457
"2402","project-29136","IC1304",0.237682721019787
"247","project-12137","TU1401",0.237642421000643
"201","project-11588","IC1104",0.237523206395767
"4865","project-7836","IS1203",0.237296169826721
"9","project-10063","CM1106",0.237217353866715
"4082","project-5829","MP1305",0.237204972127886
"2815","project-30919","TU1304",0.237162206110332
"3200","project-32440","CM1001",0.237053964992104
"411","project-13787","ES1201",0.237013862094367
"746","project-18030","BM1408",0.236976714505076
"2462","project-29423","CM1307",0.236714485479461
"4287","project-6326","TD1005",0.236712061893039
"2948","project-31404","ES1106",0.23667142758566
"4633","project-7109","MP1305",0.23664758560022
"4159","project-5993","TU1401",0.236295540273011
"3883","project-34869","CM1003",0.236225038666719
"4114","project-5927","TD1001",0.236171859683755
"3539","project-33667","TU1204",0.23613347553046
"1612","project-24631","ES1308",0.236073875667989
"4380","project-6498","FP1305",0.235958084137779
"2887","project-31221","CM1106",0.235801712903532
"4539","project-6867","MP1102",0.235778411707999
"4542","project-6875","CM1302",0.235485856604463
"4751","project-7462","ES1402",0.235354449236006
"1221","project-22156","IC1204",0.23519792866793
"1377","project-23026","FP1004",0.235164894759409
"3764","project-34371","ES1402",0.235108857911616
"3546","project-33697","ES1104",0.235081699861504
"3005","project-31603","FP1105",0.234966230597213
"4316","project-6355","MP1106",0.234932045509146
"1140","project-21667","FA1208",0.234814925678367
"4998","project-8379","CM1303",0.233977786459441
"3368","project-32961","ES1201",0.233932452958533
"2269","project-28552","CM1304",0.233627898381563
"3510","project-33510","TU1401",0.233388094843491
"4578","project-7014","IS1308",0.233377551997138
"1471","project-23516","TU1004",0.233355217181023
"933","project-19802","CM1106",0.233277769734023
"2287","project-28620","BM1203",0.233142118024787
"2397","project-29120","MP1004",0.232988125223426
"3516","project-33523","ES1406",0.232921923926934
"4523","project-6793","CM1302",0.232812214614583
"3192","project-32412","MP1206",0.232795189265599
"2438","project-29300","CM1302",0.232762615160815
"3817","project-34524","TD1207",0.232706503042839
"4050","project-5706","FA1106",0.232544665059411
"4085","project-5832","MP1305",0.232501248068007
"3890","project-34877","CM1003",0.232490979637905
"1718","project-25445","TD1006",0.232470478524809
"3680","project-34130","FP1201",0.232303106934749
"2552","project-29861","IS1006",0.23195683904954
"2937","project-31384","MP1104",0.231804577008605
"2884","project-31214","CM1004",0.231794492698273
"978","project-20290","ES1404",0.23177783803483
"2333","project-28879","CM1104",0.231714665945992
"1213","project-22115","TU1304",0.23160149084839
"4407","project-6574","FP1106",0.231571561379084
"298","project-12837","TD1303",0.231435292235495
"1269","project-22465","CM1406",0.231416674010003
"749","project-18049","ES1406",0.231343790677716
"822","project-18732","IC1002",0.231340621401982
"2228","project-28336","CM1001",0.23131736955492
